location_name,longitude,latitude,acres,year,species_name,stagename,numberstocked,county,region
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1997,Muskellunge,Adv. Fingerlings,761,PORTAGE,NORTHEAST
COWAN LAKE,-83.92493,39.388295,694,1997,Muskellunge,Adv. Fingerlings,437,CLINTON,SOUTHWEST
MAD RIVER (GREAT MIAMI R),,,,1997,Brown Trout,Yearling,9000,,
MAD RIVER (GREAT MIAMI R),,,,1997,Brown Trout,Yearling,1000,,
CLEAR CREEK (HOCKING R),,,,1997,Brown Trout,Yearling,1809,,
CLEAR CREEK (HOCKING R),,,,1997,Brown Trout,Yearling,1691,,
CLEAR FORK MOHICAN RIVER (MUSKINGUM R),,,,1997,Brown Trout,Yearling,10000,,
MAD RIVER (GREAT MIAMI R),,,,1997,Brown Trout,Yearling,6120,,
CLEAR FORK MOHICAN RIVER (MUSKINGUM R),,,,1997,Brown Trout,Yearling,5950,,
WOLF CREEK WA PONDS,,,,1997,Bluegill,Fingerlings,3897,MORGAN,SOUTHEAST
LITTLE TURTLE POND,,,3,1997,Channel Catfish,Yearling,631,SUMMIT,NORTHEAST
NORTH RESERVOIR,-81.542618,41.001756,139,1997,Channel Catfish,Yearling,2826,SUMMIT,NORTHEAST
WILLS CREEK LAKE,-81.850408,40.157271,375,1997,Saugeye,Fry,828000,COSHOCTON,SOUTHEAST
MUSKINGUM RIVER (MUSKINGUM R),,,,1997,Saugeye,Fry,843920,,
SALT FORK LAKE,-81.557065,40.104771,3060,1997,Walleye,Fry,218800,GUERNSEY,SOUTHEAST
VETO LAKE,-81.646517,39.345074,143,1997,Saugeye,Fingerlings,17948,WASHINGTON,SOUTHEAST
FORKED RUN LAKE,-81.767632,39.091778,110,1997,Saugeye,Fingerlings,10769,MEIGS,SOUTHEAST
PIEDMONT LAKE,-81.213162,40.190368,2370,1997,Saugeye,Fingerlings,192718,HARRISON,NORTHEAST
PIEDMONT LAKE,-81.213162,40.190368,2370,1997,Saugeye,Fingerlings,38729,HARRISON,NORTHEAST
WILLS CREEK LAKE,-81.850408,40.157271,375,1997,Saugeye,Fingerlings,90199,COSHOCTON,SOUTHEAST
DEER CREEK LAKE,-83.244914,39.605639,1301,1997,Saugeye,Fingerlings,214264,PICKAWAY,CENTRAL
PLEASANT HILL LAKE,-82.324884,40.622857,783,1997,Saugeye,Fingerlings,87920,ASHLAND,NORTHEAST
CHARLES MILL RESERVOIR,-82.365997,40.740854,1347,1997,Saugeye,Fingerlings,138580,ASHLAND,NORTHEAST
MUSKINGUM RIVER (MUSKINGUM R),,,,1997,Saugeye,Fingerlings,136318,,
ATWOOD LAKE,-81.285772,40.526523,1563,1997,Saugeye,Fingerlings,154440,TUSCARAWAS,NORTHEAST
TAPPAN LAKE,-81.225939,40.359266,2274,1997,Saugeye,Fingerlings,195362,HARRISON,NORTHEAST
SENECA LAKE,-81.438174,39.924472,3587,1997,Walleye,Fingerlings,270042,NOBLE,SOUTHEAST
SENECA LAKE,-81.438174,39.924472,3587,1997,Walleye,Fingerlings,292493,NOBLE,SOUTHEAST
SENECA LAKE,-81.438174,39.924472,3587,1997,Walleye,Fingerlings,318525,NOBLE,SOUTHEAST
SENECA LAKE,-81.438174,39.924472,3587,1997,Walleye,Fingerlings,259966,NOBLE,SOUTHEAST
LADUE RESERVOIR,-81.18649,41.406954,1478,1997,Walleye,Fingerlings,215521,GEAUGA,NORTHEAST
LAKE MILTON,-80.977591,41.127257,1694,1997,Walleye,Fingerlings,218398,MAHONING,NORTHEAST
SALT FORK LAKE,-81.557065,40.104771,3060,1997,Walleye,Fingerlings,121513,GUERNSEY,SOUTHEAST
BRESLER RESERVOIR,-84.229082,40.73066,582,1997,Walleye,Fingerlings,47426,ALLEN,NORTHWEST
SENECA LAKE,-81.438174,39.924472,3587,1997,Walleye,Fingerlings,175447,NOBLE,SOUTHEAST
OHIO RIVER NEW CUMBERLAND POOL,,,,1997,Hybrid-Striped Bass,Fingerlings,50374,,
OHIO RIVER PIKE ISLAND POOL,,,,1997,Hybrid-Striped Bass,Fingerlings,98941,,
OHIO RIVER R.C. BYRD POOL,,,,1997,Hybrid-Striped Bass,Fingerlings,73727,,
OHIO RIVER GREENUP POOL,,,,1997,Hybrid-Striped Bass,Fingerlings,50523,,
OHIO RIVER MELDAHL POOL,,,,1997,Hybrid-Striped Bass,Fingerlings,134049,,
OHIO RIVER MELDAHL POOL,,,,1997,Hybrid-Striped Bass,Fingerlings,46837,,
SENECA LAKE,-81.438174,39.924472,3587,1997,Striped Bass,Fingerlings,24097,NOBLE,SOUTHEAST
SENECA LAKE,-81.438174,39.924472,3587,1997,Striped Bass,Fingerlings,13975,NOBLE,SOUTHEAST
SENECA LAKE,-81.438174,39.924472,3587,1997,Striped Bass,Fingerlings,10848,NOBLE,SOUTHEAST
CROOKSVILLE RESERVOIR #1,-82.074309,39.701468,8,1997,Channel Catfish,Yearling,3200,PERRY,SOUTHEAST
CROOKSVILLE RESERVOIR SOUTH,-82.046756,39.761332,14,1997,Channel Catfish,Yearling,10218,MORGAN,SOUTHEAST
WATERLOO WA PONDS,,,,1997,Channel Catfish,Yearling,6084,VINTON,SOUTHEAST
PINE LAKE,-80.634366,40.899662,484,1997,Channel Catfish,Yearling,2824,MAHONING,NORTHEAST
TWIN CHURCHES LAKE,-82.335526,39.699605,36,1997,Channel Catfish,Yearling,400,PERRY,SOUTHEAST
SHAWNEE STATE FOREST PONDS,,,,1997,Channel Catfish,Yearling,4160,SCIOTO,SOUTHEAST
WOLF CREEK  WILDLIFE AREA,,,,1997,Channel Catfish,Yearling,2009,MORGAN,SOUTHEAST
EGYPT VALLEY WA PONDS,,,,1997,Channel Catfish,Yearling,2009,BELMONT,SOUTHEAST
AEP RECREATION LAND,,,,1997,Channel Catfish,Yearling,8518,,
DOW LAKE,-82.017642,39.335373,172,1997,Channel Catfish,Yearling,4000,ATHENS,SOUTHEAST
GUILFORD LAKE,-80.872028,40.795059,361,1997,Channel Catfish,Yearling,5017,COLUMBIANA,NORTHEAST
SPENCER LAKE,-82.080427,41.106953,87,1997,Channel Catfish,Yearling,1779,MEDINA,NORTHEAST
WELLINGTON RESERVOIR SOUTH,-82.233492,41.142851,26,1997,Channel Catfish,Yearling,451,LORAIN,NORTHEAST
ZEPERNICK LAKE,-80.978146,40.788659,39,1997,Channel Catfish,Yearling,1026,COLUMBIANA,NORTHEAST
BARNESVILLE RESERVOIR #1,-81.166222,39.964524,24,1997,Channel Catfish,Yearling,2511,BELMONT,SOUTHEAST
BARNESVILLE RESERVOIR #2,-81.181757,39.998657,12,1997,Channel Catfish,Yearling,949,BELMONT,SOUTHEAST
BARNESVILLE RESERVOIR #4,-81.156108,39.971007,14,1997,Channel Catfish,Yearling,348,BELMONT,SOUTHEAST
HANGING ROCK LAKE,-82.718326,38.55857,8,1997,Channel Catfish,Yearling,544,LAWRENCE,SOUTHEAST
JACKSON LAKE,-82.602385,38.89177,252,1997,Channel Catfish,Yearling,459,JACKSON,SOUTHEAST
DEER CREEK RESERVOIR,-81.116487,40.968658,334,1997,Channel Catfish,Yearling,5001,STARK,NORTHEAST
TYCOON LAKE,-82.353209,38.921774,183,1997,Channel Catfish,Yearling,4995,GALLIA,SOUTHEAST
DALE WALBORN RESERVOIR,-81.177601,40.973158,658,1997,Channel Catfish,Yearling,5060,STARK,NORTHEAST
JACKSON LAKE,-82.602385,38.89177,252,1997,Channel Catfish,Yearling,4549,JACKSON,SOUTHEAST
WNF PONDS (IRONTON UNIT),,,,1997,Channel Catfish,Yearling,202,LAWRENCE,SOUTHEAST
GUILFORD LAKE,-80.872028,40.795059,361,1997,Channel Catfish,Yearling,4292,COLUMBIANA,NORTHEAST
WELLINGTON RESERVOIR SOUTH,-82.233492,41.142851,26,1997,Channel Catfish,Yearling,427,LORAIN,NORTHEAST
DALE WALBORN RESERVOIR,-81.177601,40.973158,658,1997,Channel Catfish,Yearling,1492,STARK,NORTHEAST
SENECA LAKE,-81.438174,39.924472,3587,1997,Striped Bass,Adv. Fingerlings,18100,NOBLE,SOUTHEAST
CONNEAUT CREEK (LAKE ERIE),,,,1997,Rainbow Trout,Yearling,13598,,
ROCKY RIVER (LAKE ERIE),,,,1997,Rainbow Trout,Yearling,18498,,
ROCKY RIVER (LAKE ERIE),,,,1997,Rainbow Trout,Yearling,10800,,
ROCKY RIVER (LAKE ERIE),,,,1997,Rainbow Trout,Yearling,17064,,
GRAND RIVER (LAKE ERIE),,,,1997,Rainbow Trout,Yearling,16538,,
GRAND RIVER (LAKE ERIE),,,,1997,Rainbow Trout,Yearling,8880,,
CHAGRIN RIVER (LAKE ERIE),,,,1997,Rainbow Trout,Yearling,16728,,
CHAGRIN RIVER (LAKE ERIE),,,,1997,Rainbow Trout,Yearling,17760,,
CHAGRIN RIVER (LAKE ERIE),,,,1997,Rainbow Trout,Yearling,10168,,
CONNEAUT CREEK (LAKE ERIE),,,,1997,Rainbow Trout,Yearling,12546,,
CONNEAUT CREEK (LAKE ERIE),,,,1997,Rainbow Trout,Yearling,17640,,
GRAND RIVER (LAKE ERIE),,,,1997,Rainbow Trout,Yearling,20577,,
GRAND RIVER (LAKE ERIE),,,,1997,Rainbow Trout,Yearling,5700,,
CONNEAUT CREEK (LAKE ERIE),,,,1997,Rainbow Trout,Yearling,5700,,
ROCKY RIVER (LAKE ERIE),,,,1997,Rainbow Trout,Yearling,5700,,
ROCKY FORK LAKE,-83.439915,39.185034,1953,1997,Walleye,Fry,22500,HIGHLAND,SOUTHWEST
ROCKY FORK LAKE,-83.439915,39.185034,1953,1997,Walleye,Fry,245565,HIGHLAND,SOUTHWEST
ROCKY FORK LAKE,-83.439915,39.185034,1953,1997,Walleye,Fry,252850,HIGHLAND,SOUTHWEST
ROCKY FORK LAKE,-83.439915,39.185034,1953,1997,Walleye,Fry,7670,HIGHLAND,SOUTHWEST
ALUM CREEK LAKE,-82.963793,40.184249,3331,1997,Muskellunge,Fry,66150,DELAWARE,CENTRAL
OHIO RIVER GREENUP POOL,,,,1997,Hybrid-Striped Bass,Fingerlings,62901,,
OHIO RIVER MELDAHL POOL,,,,1997,Hybrid-Striped Bass,Fingerlings,20820,,
OHIO RIVER MELDAHL POOL,,,,1997,Hybrid-Striped Bass,Fingerlings,15344,,
OHIO RIVER MARKLAND POOL,,,,1997,Hybrid-Striped Bass,Fingerlings,34511,,
CHARLES MILL RESERVOIR,-82.365997,40.740854,1347,1997,Striped Bass (male) x White bass (female),Fingerlings,62002,ASHLAND,NORTHEAST
COWAN LAKE,-83.92493,39.388295,694,1997,Muskellunge,Fingerlings,137,CLINTON,SOUTHWEST
SALT FORK LAKE,-81.557065,40.104771,3060,1997,Muskellunge,Adv. Fingerlings,2457,GUERNSEY,SOUTHEAST
COWAN LAKE,-83.92493,39.388295,694,1997,Muskellunge,Adv. Fingerlings,601,CLINTON,SOUTHWEST
LAKE MILTON,-80.977591,41.127257,1694,1997,Muskellunge,Adv. Fingerlings,1685,MAHONING,NORTHEAST
CLEARFORK RESERVOIR,-82.606283,40.698152,1033,1997,Muskellunge,Adv. Fingerlings,1000,RICHLAND,NORTHEAST
PIEDMONT LAKE,-81.213162,40.190368,2370,1997,Muskellunge,Adv. Fingerlings,2337,HARRISON,NORTHEAST
LEESVILLE LAKE,-81.194548,40.468665,1011,1997,Muskellunge,Adv. Fingerlings,1000,CARROLL,NORTHEAST
ROCKY FORK LAKE,-83.439915,39.185034,1953,1997,Muskellunge,Adv. Fingerlings,4160,HIGHLAND,SOUTHWEST
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1997,Muskellunge,Adv. Fingerlings,1325,PORTAGE,NORTHEAST
SALT FORK LAKE,-81.557065,40.104771,3060,1997,Muskellunge,Adv. Fingerlings,1476,GUERNSEY,SOUTHEAST
PYMATUNING LAKE,-80.501181,41.516953,16349,1997,Muskellunge,Adv. Fingerlings,5000,ASHTABULA,NORTHEAST
COWAN LAKE,-83.92493,39.388295,694,1997,Muskellunge,Adv. Fingerlings,346,CLINTON,SOUTHWEST
SALT FORK LAKE,-81.557065,40.104771,3060,1997,Muskellunge,Adv. Fingerlings,1476,GUERNSEY,SOUTHEAST
ALUM CREEK LAKE,-82.963793,40.184249,3331,1997,Muskellunge,Adv. Fingerlings,3720,DELAWARE,CENTRAL
BRESLER RESERVOIR,-84.229082,40.73066,582,1997,Walleye,Fry,204925,ALLEN,NORTHWEST
PAINT CREEK LAKE,-83.35408,39.250837,1177,1997,Saugeye,Fingerlings,595940,ROSS,SOUTHEAST
LIMA LAKE,-84.050626,40.757473,87,1997,Saugeye,Fingerlings,9302,ALLEN,NORTHWEST
OUTHWAITE RESERVOIR,-82.935716,40.835628,148,1997,Saugeye,Fingerlings,14099,CRAWFORD,NORTHWEST
PAULDING RESERVOIR,-84.591437,41.124255,67,1997,Saugeye,Fingerlings,6490,PAULDING,NORTHWEST
RILEY RESERVOIR,-82.933241,40.827245,31,1997,Saugeye,Fingerlings,3357,CRAWFORD,NORTHWEST
VAN WERT RESERVOIR #1,-84.579849,40.849321,61,1997,Saugeye,Fingerlings,6714,VAN WERT,NORTHWEST
VAN WERT RESERVOIR #2 OLD (pre 2007),-84.575654,40.844017,61,1997,Saugeye,Fingerlings,6714,VAN WERT,NORTHWEST
INDIAN LAKE,-83.875493,40.467488,5036,1997,Saugeye,Fingerlings,539540,LOGAN,CENTRAL
MUSKINGUM RIVER BASIN,,,,1997,Saugeye,Fingerlings,364444,,
GREAT MIAMI RIVER (GREAT MIAMI R),,,,1997,Saugeye,Fingerlings,75461,,
GREAT MIAMI RIVER (GREAT MIAMI R),,,,1997,Saugeye,Fingerlings,75461,,
INDIAN LAKE,-83.875493,40.467488,5036,1997,Saugeye,Fingerlings,40928,LOGAN,CENTRAL
POWERS RESERVOIR,-82.803509,40.721617,28,1997,Saugeye,Fingerlings,2896,CRAWFORD,NORTHWEST
METZGER RESERVOIR,-84.055351,40.741409,157,1997,Saugeye,Fingerlings,15928,ALLEN,NORTHWEST
LOST CREEK RESERVOIR,-84.067431,40.744618,131,1997,Saugeye,Fingerlings,12308,ALLEN,NORTHWEST
RACCOON CREEK RESERVOIR,-82.976303,41.28754,36,1997,Saugeye,Fingerlings,4344,SANDUSKY,NORTHWEST
VETS MEMORIAL RESERVOIR,-83.455482,41.13332,157,1997,Saugeye,Fingerlings,16652,HANCOCK,NORTHWEST
LAKE LECOMTE,-83.447149,41.115821,137,1997,Saugeye,Fingerlings,13032,HANCOCK,NORTHWEST
BEACH CITY RESERVOIR,-81.557344,40.645061,141,1997,Saugeye,Fingerlings,41992,TUSCARAWAS,NORTHEAST
TAPPAN LAKE,-81.225939,40.359266,2274,1997,Saugeye,Fingerlings,39820,HARRISON,NORTHEAST
CLENDENING LAKE,-81.276497,40.268967,1702,1997,Saugeye,Fingerlings,180276,HARRISON,NORTHEAST
HOOVER RESERVOIR,-82.881928,40.108163,2884,1997,Saugeye,Fingerlings,97740,FRANKLIN,CENTRAL
BUCKEYE LAKE,-82.488212,39.92786,2851,1997,Saugeye,Fingerlings,330144,LICKING,CENTRAL
FINDLAY RESERVOIR #2,-83.571596,41.010014,644,1997,Yellow Perch,Fingerlings,113720,HANCOCK,NORTHWEST
TURKEYFOOT LAKE,-81.54373,40.969256,474,1997,Saugeye,Fingerlings,66690,SUMMIT,NORTHEAST
WEST RESERVOIR,-81.535118,40.980356,98,1997,Saugeye,Fingerlings,16302,SUMMIT,NORTHEAST
EAST RESERVOIR,-81.531229,41.001156,232,1997,Saugeye,Fingerlings,38162,SUMMIT,NORTHEAST
LONG LAKE,-81.543174,41.015056,224,1997,Saugeye,Fingerlings,5632,SUMMIT,NORTHEAST
LAKE LORAMIE,-84.362362,40.363606,869,1997,Saugeye,Fingerlings,151164,SHELBY,NORTHWEST
EASTWOOD LAKE,-84.145686,39.782494,196,1997,Saugeye,Fingerlings,19266,MONTGOMERY,SOUTHWEST
FINDLAY RESERVOIR #1,-83.565485,41.008315,186,1997,Walleye,Fingerlings,19333,HANCOCK,NORTHWEST
KILLDEER RESERVOIR,-83.384538,40.705486,251,1997,Walleye,Fingerlings,28858,WYANDOT,NORTHWEST
FINDLAY RESERVOIR #2,-83.571596,41.010014,644,1997,Walleye,Fingerlings,32560,HANCOCK,NORTHWEST
FINDLAY RESERVOIR #2,-83.571596,41.010014,644,1997,Yellow Perch,Fingerlings,111251,HANCOCK,NORTHWEST
BRESLER RESERVOIR,-84.229082,40.73066,582,1997,Walleye,Fingerlings,13829,ALLEN,NORTHWEST
SHELBY RESERVOIR #3,-82.652779,40.909478,51,1997,Walleye,Fingerlings,6708,RICHLAND,NORTHEAST
NORWALK RESERVOIR #3,-82.590454,41.234447,92,1997,Walleye,Fingerlings,8256,HURON,NORTHWEST
WILLARD RESERVOIR,-82.665177,41.057248,199,1997,Walleye,Fingerlings,28896,HURON,NORTHWEST
LONG LAKE,-81.543174,41.015056,224,1997,Saugeye,Fingerlings,16900,SUMMIT,NORTHEAST
NORTH RESERVOIR,-81.542618,41.001756,139,1997,Saugeye,Fingerlings,1690,SUMMIT,NORTHEAST
WAUSEON RESERVOIR #2,-84.149402,41.511667,50,1997,Saugeye,Fingerlings,4521,FULTON,NORTHWEST
WAUSEON RESERVOIR #1,-84.151879,41.511738,11,1997,Saugeye,Fingerlings,1437,FULTON,NORTHWEST
ARCHBOLD RESERVOIR #1,-84.295251,41.520148,20,1997,Saugeye,Fingerlings,2028,FULTON,NORTHWEST
METZGER RESERVOIR,-84.055351,40.741409,157,1997,Channel Catfish,Yearling,4024,ALLEN,NORTHWEST
LOST CREEK RESERVOIR,-84.067431,40.744618,131,1997,Channel Catfish,Yearling,3006,ALLEN,NORTHWEST
SCHOONOVER LAKE,-84.095553,40.750691,23,1997,Channel Catfish,Yearling,554,ALLEN,NORTHWEST
PAULDING RESERVOIR,-84.591437,41.124255,67,1997,Channel Catfish,Yearling,1566,PAULDING,NORTHWEST
VAN WERT RESERVOIR #1,-84.579849,40.849321,61,1997,Channel Catfish,Yearling,1634,VAN WERT,NORTHWEST
VAN WERT RESERVOIR #2 OLD (pre 2007),-84.575654,40.844017,61,1997,Channel Catfish,Yearling,1634,VAN WERT,NORTHWEST
BRESLER RESERVOIR,-84.229082,40.73066,582,1997,Channel Catfish,Yearling,4118,ALLEN,NORTHWEST
BRESLER RESERVOIR,-84.229082,40.73066,582,1997,Channel Catfish,Yearling,7314,ALLEN,NORTHWEST
PIEDMONT LAKE,-81.213162,40.190368,2370,1997,Muskellunge,Adv. Fingerlings,395,HARRISON,NORTHEAST
TRIVALLEY WA PONDS,,,,1997,Largemouth Bass,Fingerlings,2061,MUSKINGUM,SOUTHEAST
BRESLER RESERVOIR,-84.229082,40.73066,582,1997,Channel Catfish,Yearling,1377,ALLEN,NORTHWEST
UPPER SANDUSKY RESERVOIR,-83.271864,40.820332,32,1997,Channel Catfish,Yearling,958,WYANDOT,NORTHWEST
BUCYRUS RESERVOIR #2,-82.928506,40.812734,31,1997,Channel Catfish,Yearling,756,CRAWFORD,NORTHWEST
OUTHWAITE RESERVOIR,-82.935716,40.835628,148,1997,Channel Catfish,Yearling,3511,CRAWFORD,NORTHWEST
BUCYRUS RESERVOIR #1,-82.938242,40.827245,39,1997,Channel Catfish,Yearling,1008,CRAWFORD,NORTHWEST
RILEY RESERVOIR,-82.933241,40.827245,31,1997,Channel Catfish,Yearling,756,CRAWFORD,NORTHWEST
BRESLER RESERVOIR,-84.229082,40.73066,582,1997,Channel Catfish,Yearling,2444,ALLEN,NORTHWEST
RACCOON CREEK RESERVOIR,-82.976303,41.28754,36,1997,Channel Catfish,Yearling,1003,SANDUSKY,NORTHWEST
ALDRICH POND,-83.253565,41.447729,34,1997,Channel Catfish,Yearling,818,SANDUSKY,NORTHWEST
BELLEVUE RESERVOIR #5,-82.776295,41.211745,85,1997,Channel Catfish,Yearling,2130,HURON,NORTHWEST
BEAVER CREEK RESERVOIR,-83.02003,41.241359,110,1997,Channel Catfish,Yearling,2754,SENECA,NORTHWEST
DARKE WA PONDS,,,,1997,Channel Catfish,Yearling,378,DARKE,SOUTHWEST
ADAMS LAKE,-83.516026,38.813935,37,1997,Channel Catfish,Yearling,928,ADAMS,SOUTHWEST
OLDAKER PONDS,,,,1997,Channel Catfish,Yearling,102,HIGHLAND,SOUTHWEST
DALE WALBORN RESERVOIR,-81.177601,40.973158,658,1997,Channel Catfish,Yearling,3511,STARK,NORTHEAST
FERGUSON RESERVOIR,-84.044266,40.732342,308,1997,Channel Catfish,Yearling,2843,ALLEN,NORTHWEST
METZGER RESERVOIR,-84.055351,40.741409,157,1997,Channel Catfish,Yearling,2844,ALLEN,NORTHWEST
LOST CREEK RESERVOIR,-84.067431,40.744618,131,1997,Channel Catfish,Yearling,2864,ALLEN,NORTHWEST
OHIO CANAL LOCK #4,-81.583218,40.877966,2,1997,Rainbow Trout,Yearling,2502,STARK,NORTHEAST
